,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,SMA,Signal
0,2014-11-25,74.87628536000001,45.81127516546795,93.18974262027133,74.87628536000001,74.87628536000001,-5.847915433710685,-5.847915433710685,-5.847915433710685,-0.01602158775779959,-0.01602158775779959,-0.01602158775779959,-5.831893845952885,-5.831893845952885,-5.831893845952885,0.0,0.0,0.0,69.02836992628933,,0
1,2014-11-26,74.93911653873425,44.986541571799194,89.9732619783672,74.93911653873425,74.93911653873425,-6.0272822413169616,-6.0272822413169616,-6.0272822413169616,-0.042232436456220886,-0.042232436456220886,-0.042232436456220886,-5.98504980486074,-5.98504980486074,-5.98504980486074,0.0,0.0,0.0,68.91183429741729,,0
2,2014-11-28,75.06477889620275,46.071228751269,91.54475853099315,75.06477889620275,75.06477889620275,-6.380721813679874,-6.380721813679874,-6.380721813679874,-0.07365223520321391,-0.07365223520321391,-0.07365223520321391,-6.307069578476661,-6.307069578476661,-6.307069578476661,0.0,0.0,0.0,68.68405708252288,,0
3,2014-12-01,75.25327243240548,46.58048689131543,91.04775953493217,75.25327243240548,75.25327243240548,-6.876201188867742,-6.876201188867742,-6.876201188867742,-0.10617145686941151,-0.10617145686941151,-0.10617145686941151,-6.77002973199833,-6.77002973199833,-6.77002973199833,0.0,0.0,0.0,68.37707124353774,,0
4,2014-12-02,75.31610361113972,45.879607768360074,91.80148334056587,75.31610361113972,75.31610361113972,-6.9194433088734,-6.9194433088734,-6.9194433088734,-0.01602158775774263,-0.01602158775774263,-0.01602158775774263,-6.903421721115657,-6.903421721115657,-6.903421721115657,0.0,0.0,0.0,68.39666030226633,,0
5,2014-12-03,75.378934789874,44.37431066981556,91.79684323221595,75.378934789874,75.378934789874,-7.062712971514977,-7.062712971514977,-7.062712971514977,-0.04223243645622774,-0.04223243645622774,-0.04223243645622774,-7.020480535058749,-7.020480535058749,-7.020480535058749,0.0,0.0,0.0,68.31622181835901,,0
6,2014-12-04,75.44176596860824,44.633774335963615,91.91211134760181,75.44176596860824,75.44176596860824,-7.197264113053632,-7.197264113053632,-7.197264113053632,-0.07901645932194865,-0.07901645932194865,-0.07901645932194865,-7.118247653731683,-7.118247653731683,-7.118247653731683,0.0,0.0,0.0,68.2445018555546,,0
7,2014-12-05,75.50459714734248,45.209494537845174,91.06772172126578,75.50459714734248,75.50459714734248,-7.2679124035560845,-7.2679124035560845,-7.2679124035560845,-0.07365223520340246,-0.07365223520340246,-0.07365223520340246,-7.194260168352683,-7.194260168352683,-7.194260168352683,0.0,0.0,0.0,68.2366847437864,,0
8,2014-12-08,75.69309068354522,44.475284996795445,91.02974898486855,75.69309068354522,75.69309068354522,-7.382045348477531,-7.382045348477531,-7.382045348477531,-0.1061714568695404,-0.1061714568695404,-0.1061714568695404,-7.275873891607991,-7.275873891607991,-7.275873891607991,0.0,0.0,0.0,68.31104533506769,,0
9,2014-12-09,75.75592186227946,45.28693417836612,92.48785511258689,75.75592186227946,75.75592186227946,-7.2681773168615615,-7.2681773168615615,-7.2681773168615615,-0.016021587757845925,-0.016021587757845925,-0.016021587757845925,-7.252155729103716,-7.252155729103716,-7.252155729103716,0.0,0.0,0.0,68.4877445454179,68.49941911502192,-1
10,2014-12-10,75.81875304101371,45.13774794074995,90.29863636388349,75.81875304101371,75.81875304101371,-7.245793804379788,-7.245793804379788,-7.245793804379788,-0.04223243645625665,-0.04223243645625665,-0.04223243645625665,-7.203561367923531,-7.203561367923531,-7.203561367923531,0.0,0.0,0.0,68.57295923663392,68.45387804605637,1
11,2014-12-11,75.88158421974795,44.27031378392648,93.06404127060274,75.88158421974795,75.88158421974795,-7.2104215371879254,-7.2104215371879254,-7.2104215371879254,-0.07901645932210298,-0.07901645932210298,-0.07901645932210298,-7.131405077865823,-7.131405077865823,-7.131405077865823,0.0,0.0,0.0,68.67116268256002,68.42981088457066,1
12,2014-12-12,75.9444153984822,46.13504939913061,92.42619420946974,75.9444153984822,75.9444153984822,-7.1112461966678495,-7.1112461966678495,-7.1112461966678495,-0.07365223520318961,-0.07365223520318961,-0.07365223520318961,-7.03759396146466,-7.03759396146466,-7.03759396146466,0.0,0.0,0.0,68.83316920181436,68.4447220964998,1
13,2014-12-15,76.13290893468493,47.58850716277148,92.72857085704916,76.13290893468493,76.13290893468493,-6.759043473470543,-6.759043473470543,-6.759043473470543,-0.10617145686951128,-0.10617145686951128,-0.10617145686951128,-6.652872016601032,-6.652872016601032,-6.652872016601032,0.0,0.0,0.0,69.3738654612144,68.54440151826746,1
14,2014-12-16,76.19574011341918,46.02296515746875,91.12397388938136,76.19574011341918,76.19574011341918,-6.517056179622424,-6.517056179622424,-6.517056179622424,-0.016021587758002852,-0.016021587758002852,-0.016021587758002852,-6.50103459186442,-6.50103459186442,-6.50103459186442,0.0,0.0,0.0,69.67868393379675,68.6726038814205,1
15,2014-12-17,76.25857129215343,46.27999140105557,93.18455648133188,76.25857129215343,76.25857129215343,-6.385688224697977,-6.385688224697977,-6.385688224697977,-0.0422324364562635,-0.0422324364562635,-0.0422324364562635,-6.343455788241713,-6.343455788241713,-6.343455788241713,0.0,0.0,0.0,69.87288306745546,68.82827000633014,1
16,2014-12-18,76.32140247088769,46.17701881683871,93.70038204096116,76.32140247088769,76.32140247088769,-6.262948852638332,-6.262948852638332,-6.262948852638332,-0.07901645932199874,-0.07901645932199874,-0.07901645932199874,-6.183932393316333,-6.183932393316333,-6.183932393316333,0.0,0.0,0.0,70.05845361824936,69.00966518259963,1
17,2014-12-19,76.38423364962193,46.229474537983315,92.17509625944025,76.38423364962193,76.38423364962193,-6.099867547162389,-6.099867547162389,-6.099867547162389,-0.07365223520308337,-0.07365223520308337,-0.07365223520308337,-6.026215311959305,-6.026215311959305,-6.026215311959305,0.0,0.0,0.0,70.28436610245954,69.21443331846694,1
18,2014-12-22,76.57272718582468,46.32058767050552,93.70558828226034,76.57272718582468,76.57272718582468,-5.704630971921405,-5.704630971921405,-5.704630971921405,-0.10617145686954228,-0.10617145686954228,-0.10617145686954228,-5.598459515051863,-5.598459515051863,-5.598459515051863,0.0,0.0,0.0,70.86809621390327,69.4701384063505,1
19,2014-12-23,76.63555836455892,48.865172450393025,94.07169729972892,76.63555836455892,76.63555836455892,-5.496866646600316,-5.496866646600316,-5.496866646600316,-0.016021587757892235,-0.016021587757892235,-0.016021587757892235,-5.480845058842424,-5.480845058842424,-5.480845058842424,0.0,0.0,0.0,71.13869171795861,69.73523312360456,1
20,2014-12-24,76.69838954329316,48.99035476268739,96.11225217288897,76.69838954329316,76.69838954329316,-5.421725342562557,-5.421725342562557,-5.421725342562557,-0.042232436456270374,-0.042232436456270374,-0.042232436456270374,-5.379492906106288,-5.379492906106288,-5.379492906106288,0.0,0.0,0.0,71.27666420073061,70.00560362001423,1
21,2014-12-26,76.82405190076165,48.54301561488916,94.23246628684483,76.82405190076165,76.82405190076165,-5.304346525146254,-5.304346525146254,-5.304346525146254,-0.07365223520356663,-0.07365223520356663,-0.07365223520356663,-5.230694289942688,-5.230694289942688,-5.230694289942688,0.0,0.0,0.0,71.51970537561539,70.29045788931977,1
22,2014-12-29,77.01254543696439,51.158487234892156,95.60331149276641,77.01254543696439,77.01254543696439,-5.250888808831622,-5.250888808831622,-5.250888808831622,-0.10617145686951317,-0.10617145686951317,-0.10617145686951317,-5.144717351962109,-5.144717351962109,-5.144717351962109,0.0,0.0,0.0,71.76165662813277,70.58330663195161,1
