,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,SMA,Signal
0,2014-11-28,16.364776319999997,5.918833754539873,25.869522156032726,16.364776319999997,16.364776319999997,-0.08501381986786859,-0.08501381986786859,-0.08501381986786859,-0.1637292770472054,-0.1637292770472054,-0.1637292770472054,0.07871545717933681,0.07871545717933681,0.07871545717933681,0.0,0.0,0.0,16.27976250013213,,0
1,2014-12-01,16.463689288866373,6.526395241035539,25.301025070132187,16.463689288866373,16.463689288866373,-0.4461677115425447,-0.4461677115425447,-0.4461677115425447,-0.11778312058590029,-0.11778312058590029,-0.11778312058590029,-0.3283845909566444,-0.3283845909566444,-0.3283845909566444,0.0,0.0,0.0,16.01752157732383,,0
2,2014-12-02,16.4966602784885,7.043818822552966,25.733129014963637,16.4966602784885,16.4966602784885,-0.5294550299850641,-0.5294550299850641,-0.5294550299850641,-0.03244446364104134,-0.03244446364104134,-0.03244446364104134,-0.49701056634402285,-0.49701056634402285,-0.49701056634402285,0.0,0.0,0.0,15.967205248503435,,0
3,2014-12-03,16.529631268110624,6.4833103261271985,25.296957647719136,16.529631268110624,16.529631268110624,-0.6927577412119237,-0.6927577412119237,-0.6927577412119237,-0.014620711020641932,-0.014620711020641932,-0.014620711020641932,-0.6781370301912817,-0.6781370301912817,-0.6781370301912817,0.0,0.0,0.0,15.8368735268987,,0
4,2014-12-04,16.56260225773275,6.273718645203059,25.167831706210244,16.56260225773275,16.56260225773275,-0.9027117210263846,-0.9027117210263846,-0.9027117210263846,-0.033777058300029805,-0.033777058300029805,-0.033777058300029805,-0.8689346627263548,-0.8689346627263548,-0.8689346627263548,0.0,0.0,0.0,15.659890536706364,,0
5,2014-12-05,16.59557324735487,6.180532769416366,24.800119171133215,16.59557324735487,16.59557324735487,-1.2300905236003747,-1.2300905236003747,-1.2300905236003747,-0.16372927704737097,-0.16372927704737097,-0.16372927704737097,-1.0663612465530037,-1.0663612465530037,-1.0663612465530037,0.0,0.0,0.0,15.365482723754496,,0
6,2014-12-08,16.694486216221247,4.975341691182275,23.733545834646456,16.694486216221247,16.694486216221247,-1.7841189932262325,-1.7841189932262325,-1.7841189932262325,-0.11778312058613065,-0.11778312058613065,-0.11778312058613065,-1.6663358726401019,-1.6663358726401019,-1.6663358726401019,0.0,0.0,0.0,14.910367222995013,,0
7,2014-12-09,16.727457205843372,5.182752230839419,24.395987347291964,16.727457205843372,16.727457205843372,-1.8906328532407901,-1.8906328532407901,-1.8906328532407901,-0.03244446364094093,-0.03244446364094093,-0.03244446364094093,-1.8581883895998492,-1.8581883895998492,-1.8581883895998492,0.0,0.0,0.0,14.836824352602582,,0
8,2014-12-10,16.760428195465497,5.6742390836713605,24.32407037231055,16.760428195465497,16.760428195465497,-2.055507335642754,-2.055507335642754,-2.055507335642754,-0.014620711020582345,-0.014620711020582345,-0.014620711020582345,-2.0408866246221713,-2.0408866246221713,-2.0408866246221713,0.0,0.0,0.0,14.704920859822742,,0
9,2014-12-11,16.793399185087623,4.719562030603786,23.771727538982557,16.793399185087623,16.793399185087623,-2.245474517279578,-2.245474517279578,-2.245474517279578,-0.033777058299943256,-0.033777058299943256,-0.033777058299943256,-2.2116974589796348,-2.2116974589796348,-2.2116974589796348,0.0,0.0,0.0,14.547924667808044,15.412677321654735,-1
10,2014-12-12,16.826370174709748,4.4064904296198435,23.60219639318605,16.826370174709748,16.826370174709748,-2.5319247603355963,-2.5319247603355963,-2.5319247603355963,-0.16372927704717027,-0.16372927704717027,-0.16372927704717027,-2.3681954832884258,-2.3681954832884258,-2.3681954832884258,0.0,0.0,0.0,14.294445414374152,15.214145613078935,-1
11,2014-12-15,16.925283143576124,5.418393511701386,23.405027271721245,16.925283143576124,16.925283143576124,-2.851123279416447,-2.851123279416447,-2.851123279416447,-0.11778312058597208,-0.11778312058597208,-0.11778312058597208,-2.733340158830475,-2.733340158830475,-2.733340158830475,0.0,0.0,0.0,14.074159864159677,15.019809441762519,-1
12,2014-12-16,16.958254133198245,5.117526904173235,23.616989133637297,16.958254133198245,16.958254133198245,-2.8487790681846215,-2.8487790681846215,-2.8487790681846215,-0.03244446364135376,-0.03244446364135376,-0.03244446364135376,-2.8163346045432682,-2.8163346045432682,-2.8163346045432682,0.0,0.0,0.0,14.109475065013624,14.83403642341354,-1
13,2014-12-17,16.99122512282037,3.9159319330377045,23.10637119877865,16.99122512282037,16.99122512282037,-2.8938226103075033,-2.8938226103075033,-2.8938226103075033,-0.014620711020600684,-0.014620711020600684,-0.014620711020600684,-2.8792018992869024,-2.8792018992869024,-2.8792018992869024,0.0,0.0,0.0,14.097402512512868,14.660089321974956,-1
14,2014-12-18,17.024196112442496,4.944865067570304,23.32579005173524,17.024196112442496,17.024196112442496,-2.9559992042024286,-2.9559992042024286,-2.9559992042024286,-0.03377705829998362,-0.03377705829998362,-0.03377705829998362,-2.922222145902445,-2.922222145902445,-2.922222145902445,0.0,0.0,0.0,14.068196908240068,14.500919959128328,-1
15,2014-12-19,17.05716710206462,4.426357490743579,23.23395188448427,17.05716710206462,17.05716710206462,-3.1098863513294086,-3.1098863513294086,-3.1098863513294086,-0.16372927704703852,-0.16372927704703852,-0.16372927704703852,-2.94615707428237,-2.94615707428237,-2.94615707428237,0.0,0.0,0.0,13.947280750735214,14.3590997618264,-1
16,2014-12-22,17.156080070930994,5.386444249180989,23.75733073252526,17.156080070930994,17.156080070930994,-3.035443579442401,-3.035443579442401,-3.035443579442401,-0.11778312058620083,-0.11778312058620083,-0.11778312058620083,-2.9176604588562003,-2.9176604588562003,-2.9176604588562003,0.0,0.0,0.0,14.120636491488593,14.280126688675756,-1
17,2014-12-23,17.18905106055312,5.309182262315278,22.851321383381197,17.18905106055312,17.18905106055312,-2.913786121143188,-2.913786121143188,-2.913786121143188,-0.03244446364091633,-0.03244446364091633,-0.03244446364091633,-2.8813416575022717,-2.8813416575022717,-2.8813416575022717,0.0,0.0,0.0,14.275264939409931,14.223970747356493,1
18,2014-12-24,17.222022050175244,4.469581909393876,23.419975353251118,17.222022050175244,17.222022050175244,-2.8502708374753856,-2.8502708374753856,-2.8502708374753856,-0.014620711020619022,-0.014620711020619022,-0.014620711020619022,-2.8356501264547664,-2.8356501264547664,-2.8356501264547664,0.0,0.0,0.0,14.37175121269986,14.190653782644205,1
19,2014-12-26,17.287964029419495,5.017459274696922,23.763820769840976,17.287964029419495,17.287964029419495,-2.890812298546764,-2.890812298546764,-2.890812298546764,-0.16372927704750131,-0.16372927704750131,-0.16372927704750131,-2.7270830214992627,-2.7270830214992627,-2.7270830214992627,0.0,0.0,0.0,14.39715173087273,14.175576488950671,1
20,2014-12-29,17.386876998285867,4.588116095300991,24.248709096080734,17.386876998285867,17.386876998285867,-2.680533049965194,-2.680533049965194,-2.680533049965194,-0.11778312058604223,-0.11778312058604223,-0.11778312058604223,-2.5627499293791516,-2.5627499293791516,-2.5627499293791516,0.0,0.0,0.0,14.706343948320674,14.216766342345323,1
21,2014-12-30,17.419847987907996,5.635476755729069,24.078974545512835,17.419847987907996,17.419847987907996,-2.5502962511487435,-2.5502962511487435,-2.5502962511487435,-0.032444463640992155,-0.032444463640992155,-0.032444463640992155,-2.5178517875077513,-2.5178517875077513,-2.5178517875077513,0.0,0.0,0.0,14.869551736759252,14.296305529605283,1
22,2014-12-31,17.452818977530118,5.720653350615552,24.073961497457415,17.452818977530118,17.452818977530118,-2.496108627538993,-2.496108627538993,-2.496108627538993,-0.014620711020637382,-0.014620711020637382,-0.014620711020637382,-2.481487916518356,-2.481487916518356,-2.481487916518356,0.0,0.0,0.0,14.956710349991125,14.38102905810303,1
23,2015-01-02,17.51876095677437,5.515685027171116,24.599689614221443,17.51876095677437,17.51876095677437,-2.604234410356973,-2.604234410356973,-2.604234410356973,-0.16372927704730067,-0.16372927704730067,-0.16372927704730067,-2.440505133309672,-2.440505133309672,-2.440505133309672,0.0,0.0,0.0,14.914526546417395,14.462741461493483,1
24,2015-01-05,17.617673925640744,5.233519966498746,23.789219576885294,17.617673925640744,17.617673925640744,-2.5874339857645268,-2.5874339857645268,-2.5874339857645268,-0.11778312058627106,-0.11778312058627106,-0.11778312058627106,-2.4696508651782554,-2.4696508651782554,-2.4696508651782554,0.0,0.0,0.0,15.030239939876218,14.5589457646571,1
25,2015-01-06,17.65064491526287,5.481159374096652,25.228192656270924,17.65064491526287,17.65064491526287,-2.5355676086361507,-2.5355676086361507,-2.5355676086361507,-0.03244446364140497,-0.03244446364140497,-0.03244446364140497,-2.5031231449947455,-2.5031231449947455,-2.5031231449947455,0.0,0.0,0.0,15.11507730662672,14.675725420246248,1
26,2015-01-07,17.68361590488499,5.470772753376595,24.745163090740995,17.68361590488499,17.68361590488499,-2.561487717962738,-2.561487717962738,-2.561487717962738,-0.014620711020577807,-0.014620711020577807,-0.014620711020577807,-2.5468670069421604,-2.5468670069421604,-2.5468670069421604,0.0,0.0,0.0,15.122128186922254,14.775874589789614,1
27,2015-01-08,17.71658689450712,6.044025008975805,24.140381608994044,17.71658689450712,17.71658689450712,-2.632999175769065,-2.632999175769065,-2.632999175769065,-0.033777058299977805,-0.033777058299977805,-0.033777058299977805,-2.599222117469087,-2.599222117469087,-2.599222117469087,0.0,0.0,0.0,15.083587718738055,14.856706867722428,1
28,2015-01-09,17.749557884129242,5.642486774275993,23.890663981978225,17.749557884129242,17.749557884129242,-2.821847073833479,-2.821847073833479,-2.821847073833479,-0.16372927704739734,-0.16372927704739734,-0.16372927704739734,-2.6581177967860814,-2.6581177967860814,-2.6581177967860814,0.0,0.0,0.0,14.927710810295764,14.91230282748202,1
