iter	Logloss
0	0.6712374115
1	0.6520149231
2	0.638717804
3	0.6246553802
4	0.611927681
5	0.6057750702
6	0.5966843033
7	0.5870095825
8	0.5786945724
9	0.5726343918
10	0.5669095612
11	0.5602215576
12	0.5562530136
13	0.5527149963
14	0.5493518066
15	0.545792923
16	0.5425538254
17	0.5398953247
18	0.5373848724
19	0.5341712189
20	0.5312627792
21	0.5284392929
22	0.5262265778
23	0.5252121353
24	0.5226877594
25	0.5215393066
26	0.5198098755
27	0.5183368683
28	0.5164855576
29	0.5146429062
30	0.5133628845
31	0.5117673111
32	0.5114893341
33	0.5106272125
34	0.5098984146
35	0.508788147
36	0.507485733
37	0.5062915802
38	0.5056756973
39	0.5048836899
40	0.5037757492
41	0.5031021118
42	0.5027100372
43	0.5014080048
44	0.5007140732
45	0.4997399902
46	0.4991599274
47	0.4984224701
48	0.4973680115
49	0.4966551208
50	0.4959449005
51	0.4955009842
52	0.4947764969
53	0.4940399933
54	0.49337883
55	0.4929735184
56	0.4913581085
57	0.4909269714
58	0.4900227737
59	0.4895558929
60	0.4890669632
61	0.4883502579
62	0.4875838089
63	0.4870563889
64	0.4863562012
65	0.4860610962
66	0.4851874924
67	0.4845323181
68	0.4837354279
69	0.4831746674
70	0.4822516632
71	0.4809185791
72	0.4806330872
73	0.4800875092
74	0.4796572876
75	0.4788103485
76	0.478258667
77	0.4775993347
78	0.4762171173
79	0.4756019592
80	0.4749015808
81	0.4737477112
82	0.4729561615
83	0.4722235489
84	0.4712016296
85	0.4705413055
86	0.469785614
87	0.4693125916
88	0.4690602493
89	0.4681330872
90	0.467120285
91	0.4662297821
92	0.4656130981
93	0.4650415802
94	0.464392662
95	0.4638562012
96	0.4633620453
97	0.4628938675
98	0.4621856689
99	0.4620660782
