iter	Passed	Remaining
0	142	14087
1	142	6996
2	143	4630
3	143	3447
4	143	2735
5	144	2261
6	144	1922
7	145	1668
8	145	1470
9	145	1312
10	146	1182
11	146	1074
12	146	982
13	147	904
14	147	836
15	147	776
16	148	724
17	148	677
18	149	635
19	149	597
20	149	563
21	150	532
22	150	504
23	150	478
24	151	453
25	151	431
26	151	410
27	152	391
28	152	374
29	153	357
30	153	341
31	154	327
32	154	313
33	154	300
34	155	288
35	155	276
36	156	265
37	156	255
38	156	245
39	157	235
40	157	226
41	157	217
42	158	209
43	158	201
44	158	193
45	158	186
46	159	179
47	159	172
48	159	166
49	160	160
50	160	154
51	160	148
52	161	142
53	161	137
54	161	132
55	162	127
56	162	122
57	162	117
58	163	113
59	163	108
60	163	104
61	163	100
62	164	96
63	164	92
64	164	88
65	165	85
66	165	81
67	165	78
68	166	74
69	166	71
70	166	68
71	167	64
72	167	61
73	167	58
74	168	56
75	168	53
76	168	50
77	169	47
78	169	45
79	169	42
80	169	39
81	170	37
82	170	34
83	170	32
84	171	30
85	171	27
86	171	25
87	172	23
88	172	21
89	172	19
90	173	17
91	173	15
92	173	13
93	173	11
94	174	9
95	174	7
96	174	5
97	175	3
98	175	1
99	175	0
